1;1;CEO;10;\N
2;2;Resort-Manager ;40;1
3;3;Resort-Manager ;30;1
4;4;Resort-Manager ;20;1
5;5;Resort-Manager ;10;1
6;6;Instandhaltungsverwalter;10;2
7;7;Instandhaltungsverwalter;20;5
8;8;Instandhaltungsverwalter;30;4
9;9;Instandhaltungsverwalter;40;3
10;10;Instandhaltungskraft;10;6
11;11;Instandhaltungskraft;10;6
12;12;Instandhaltungskraft;20;7
13;13;Instandhaltungskraft;20;7
14;14;Instandhaltungskraft;30;8
15;15;Instandhaltungskraft;30;8
16;16;Instandhaltungskraft;40;9
17;17;Instandhaltungskraft;40;9
18;18;Reinigungsverwalter;10;5
19;19;Reinigungsverwalter;20;4
20;20;Reinigungsverwalter;30;3
21;21;Reinigungsverwalter;40;2
22;22;Buchungsverwalter;10;5
23;23;Reinigungskraft;10;18
24;24;Reinigungskraft;10;18
25;26;Buchungsverwalter;20;4
26;27;Reinigungskraft;20;19
27;28;Reinigungskraft;20;19
28;29;Reinigungskraft;20;19
29;30;Buchungsverwalter;30;3
30;31;Reinigungskraft;30;20
31;32;Reinigungskraft;30;20
32;33;Reinigungskraft;30;20
33;34;Buchungsverwalter;40;2
34;35;Reinigungskraft;40;21
35;36;Reinigungskraft;40;21
36;37;Reinigungskraft;40;21
37;;;;
38;;;;
